idx,GoTrial,StopSignal,Cond,trial_type,choice,response,acc,rt,ssd
40,0,250,pnl,stop,stop,0,1.0,0.6509182,250
40,0,300,pnl,stop,stop,0,1.0,0.6516057,300
40,1,1000,pnl,go,go,1,1.0,0.5841373000000001,1000
40,1,1000,pnl,go,go,1,1.0,0.6115223999999999,1000
40,0,350,pnl,stop,stop,0,1.0,0.6517130999999999,350
40,1,1000,pnl,go,go,1,1.0,0.531826,1000
40,1,1000,pnl,go,go,1,1.0,0.6107651,1000
40,0,200,pnl,stop,stop,0,1.0,0.6516128000000001,200
40,1,1000,pnl,go,go,1,1.0,0.6117030999999999,1000
40,0,250,pnl,stop,stop,0,1.0,0.6514882000000001,250
40,0,200,pnl,stop,stop,0,1.0,0.6516559000000001,200
40,1,1000,pnl,go,go,1,1.0,0.4916737,1000
40,0,400,pnl,stop,go,1,0.0,0.5583566,400
40,1,1000,pnl,go,go,1,1.0,0.5584963000000001,1000
40,0,400,pnl,stop,go,1,0.0,0.5450498,400
40,1,1000,pnl,go,go,1,1.0,0.5850784000000001,1000
40,0,350,pnl,stop,go,1,0.0,0.5184816,350
40,0,300,pnl,stop,stop,0,1.0,0.6517267000000001,300
40,1,1000,pnl,go,go,1,1.0,0.5584423000000001,1000
40,1,1000,pnl,go,go,1,1.0,0.5849982,1000
40,1,1000,pnl,go,go,1,1.0,0.5718241000000001,1000
40,0,200,pnl,stop,stop,0,1.0,0.6517381000000001,200
40,0,350,pnl,stop,stop,0,1.0,0.6516466999999999,350
40,0,200,pnl,stop,stop,0,1.0,0.6516829000000001,200
40,0,250,pnl,stop,stop,0,1.0,0.6516691,250
40,0,250,pnl,stop,stop,0,1.0,0.6535455,250
40,1,1000,pnl,go,go,1,1.0,0.5851025,1000
40,0,400,pnl,stop,go,1,0.0,0.5850564,400
40,0,300,pnl,stop,stop,0,1.0,0.6515801,300
40,1,1000,pnl,go,go,1,1.0,0.6117602000000001,1000
40,0,300,pnl,stop,stop,0,1.0,0.6514392,300
40,1,1000,pnl,go,go,1,1.0,0.5585069,1000
40,0,400,pnl,stop,go,1,0.0,0.5717781,400
40,1,1000,pnl,go,go,1,1.0,0.5850858,1000
40,0,350,pnl,stop,stop,0,1.0,0.6517447,350
40,1,1000,pnl,go,go,1,1.0,0.5317465,1000
40,1,1000,pnl,go,go,1,1.0,0.5984436,1000
40,1,1000,pnl,go,go,1,1.0,0.6249515,1000
40,1,1000,pnl,go,go,1,1.0,0.5584252000000001,1000
40,1,1000,pnl,go,go,1,1.0,0.6250179,1000
40,1,1000,pnl,go,go,1,1.0,0.5467491,1000
40,0,400,pnl,stop,go,1,0.0,0.5317000000000001,400
40,0,200,pnl,stop,stop,0,1.0,0.6517978000000001,200
40,1,1000,pnl,go,go,1,1.0,0.5450861,1000
40,1,1000,pnl,go,go,1,1.0,0.6000774999999999,1000
40,1,1000,pnl,go,go,1,1.0,0.5318155000000001,1000
40,1,1000,pnl,go,go,1,1.0,0.5585893,1000
40,1,1000,pnl,go,go,1,1.0,0.5849639,1000
40,0,350,pnl,stop,go,1,0.0,0.5449581,350
40,1,1000,pnl,go,go,1,1.0,0.5851459999999999,1000
40,0,200,pnl,stop,stop,0,1.0,0.6516962,200
40,0,300,pnl,stop,stop,0,1.0,0.6507201,300
40,1,1000,pnl,go,go,1,1.0,0.5318458,1000
40,0,250,pnl,stop,stop,0,1.0,0.6516712,250
40,0,400,pnl,stop,go,1,0.0,0.5716941000000001,400
40,1,1000,pnl,go,go,1,1.0,0.571762,1000
40,1,1000,pnl,go,go,1,1.0,0.5868848000000001,1000
40,0,300,pnl,stop,stop,0,1.0,0.6516132,300
40,0,250,pnl,stop,stop,0,1.0,0.6632387,250
40,0,350,pnl,stop,go,1,0.0,0.5850217,350
40,1,1000,pnl,go,go,1,1.0,0.6117373,1000
