idx,GoTrial,StopSignal,Cond,trial_type,choice,response,acc,rt,ssd
40,1,1000,bsl,go,go,1,1.0,0.5715745,1000
40,0,250,bsl,stop,stop,0,1.0,0.651416,250
40,0,350,bsl,stop,go,1,0.0,0.5183869000000001,350
40,0,300,bsl,stop,stop,0,1.0,0.6535423,300
40,0,300,bsl,stop,stop,0,1.0,0.6518646,300
40,0,400,bsl,stop,go,1,0.0,0.5717514,400
40,1,1000,bsl,go,go,1,1.0,0.6252886999999999,1000
40,1,1000,bsl,go,go,1,1.0,0.625073,1000
40,1,1000,bsl,go,go,1,1.0,0.5450231,1000
40,1,1000,bsl,go,go,1,1.0,0.5183055999999999,1000
40,0,250,bsl,stop,stop,0,1.0,0.6516982,250
40,0,350,bsl,stop,stop,0,1.0,0.6517491,350
40,1,1000,bsl,go,go,1,1.0,0.5718110000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5318423000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5468674,1000
40,0,200,bsl,stop,stop,0,1.0,0.6516851,200
40,1,1000,bsl,go,go,1,1.0,0.5449776999999999,1000
40,0,400,bsl,stop,go,1,0.0,0.5317791999999999,400
40,0,300,bsl,stop,stop,0,1.0,0.6518109999999999,300
40,1,1000,bsl,go,go,1,1.0,0.5850107000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5984444,1000
40,0,400,bsl,stop,stop,0,1.0,0.6516566999999999,400
40,1,1000,bsl,go,go,1,1.0,0.5850736000000001,1000
40,0,200,bsl,stop,stop,0,1.0,0.6517478999999999,200
40,0,350,bsl,stop,go,1,0.0,0.600229,350
40,1,1000,bsl,go,go,1,1.0,0.6250695,1000
40,1,1000,bsl,go,go,1,1.0,0.5717920999999999,1000
40,0,250,bsl,stop,stop,0,1.0,0.6514924999999999,250
40,1,1000,bsl,go,go,1,1.0,0.5851215999999999,1000
40,1,1000,bsl,go,go,1,1.0,0.5716637,1000
40,0,350,bsl,stop,stop,0,1.0,0.6517664000000001,350
40,0,300,bsl,stop,stop,0,1.0,0.6516685999999999,300
40,1,1000,bsl,go,go,1,1.0,0.6001814999999999,1000
40,1,1000,bsl,go,go,1,1.0,0.5984559,1000
40,0,250,bsl,stop,stop,0,1.0,0.6516586999999999,250
40,1,1000,bsl,go,go,1,1.0,0.5984871999999999,1000
40,1,1000,bsl,go,go,1,1.0,0.5718165000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.5718447999999999,1000
40,0,250,bsl,stop,stop,0,1.0,0.6517618000000001,250
40,1,1000,bsl,go,go,1,1.0,0.5601666000000001,1000
40,1,1000,bsl,go,go,1,1.0,0.6249893,1000
40,0,400,bsl,stop,go,1,0.0,0.545081,400
40,0,300,bsl,stop,stop,0,1.0,0.6516712,300
40,1,1000,bsl,go,go,1,1.0,0.5450999000000001,1000
40,0,300,bsl,stop,stop,0,1.0,0.6535939000000001,300
40,0,350,bsl,stop,stop,0,1.0,0.6517541,350
40,0,400,bsl,stop,go,1,0.0,0.6250496000000001,400
40,1,1000,bsl,go,go,1,1.0,0.6128054000000001,1000
40,0,200,bsl,stop,stop,0,1.0,0.6517041,200
40,1,1000,bsl,go,go,1,1.0,0.5328383000000001,1000
40,0,250,bsl,stop,stop,0,1.0,0.6516668999999999,250
40,0,200,bsl,stop,stop,0,1.0,0.6516390999999999,200
40,0,350,bsl,stop,stop,0,1.0,0.6516731,350
40,1,1000,bsl,go,go,1,1.0,0.5863351,1000
40,1,1000,bsl,go,go,1,1.0,0.5851022,1000
40,1,1000,bsl,go,go,1,1.0,0.5451344,1000
