idx,Cond,ttype,choice,response,acc,rt,ssd
28,pnl,go,go,1,1,0.6000458,1000
28,pnl,stop,stop,0,1,0.6517957,200
28,pnl,go,go,1,1,0.638349,1000
28,pnl,go,go,1,1,0.6251769,1000
28,pnl,go,go,1,1,0.5851265,1000
28,pnl,go,go,1,1,0.5984819,1000
28,pnl,stop,stop,0,1,0.6500036,250
28,pnl,stop,stop,0,1,0.6517572,300
28,pnl,stop,stop,0,1,0.6517147,350
28,pnl,stop,stop,0,1,0.6516631,200
28,pnl,stop,stop,0,1,0.6518233,250
28,pnl,go,go,1,1,0.6117123,1000
28,pnl,stop,stop,0,1,0.6518324,300
28,pnl,stop,stop,0,1,0.6516746,350
28,pnl,stop,go,1,0,0.5983888,400
28,pnl,go,stop,0,0,0.6517587,1000
28,pnl,stop,go,1,0,0.5840047,400
28,pnl,go,go,1,1,0.5451227,1000
28,pnl,go,go,1,1,0.5717593,1000
28,pnl,go,go,1,1,0.6384258,1000
28,pnl,go,go,1,1,0.5973719,1000
28,pnl,go,go,1,1,0.5184312,1000
28,pnl,go,go,1,1,0.5450734,1000
28,pnl,go,go,1,1,0.5851461,1000
28,pnl,stop,stop,0,1,0.6512435,250
28,pnl,go,go,1,1,0.5717687,1000
28,pnl,go,go,1,1,0.5734653,1000
28,pnl,stop,stop,0,1,0.6528295,250
28,pnl,go,go,1,1,0.5462729,1000
28,pnl,stop,go,1,0,0.586146,400
28,pnl,go,go,1,1,0.5850572,1000
28,pnl,stop,stop,0,1,0.6517403,350
28,pnl,stop,stop,0,1,0.6534778,350
28,pnl,stop,stop,0,1,0.6519872,300
28,pnl,stop,stop,0,1,0.6518279,300
28,pnl,stop,stop,0,1,0.6516976,200
28,pnl,stop,go,1,0,0.5717634,400
28,pnl,go,go,1,1,0.625424,1000
28,pnl,stop,stop,0,1,0.6517696,200
28,pnl,go,go,1,1,0.6116497,1000
28,pnl,go,go,1,1,0.6117347,1000
28,pnl,go,go,1,1,0.585248,1000
28,pnl,go,go,1,1,0.533773,1000
28,pnl,stop,stop,0,1,0.6518378,300
28,pnl,stop,go,1,0,0.5591133,400
28,pnl,stop,stop,0,1,0.6517696,200
28,pnl,stop,stop,0,1,0.6518173,250
28,pnl,stop,stop,0,1,0.6518228,300
28,pnl,stop,stop,0,1,0.6517054,250
28,pnl,go,go,1,1,0.5852171,1000
28,pnl,go,go,1,1,0.5983784,1000
28,pnl,stop,stop,0,1,0.6517984,350
28,pnl,stop,go,1,0,0.5718119,400
28,pnl,go,go,1,1,0.6117891,1000
28,pnl,go,go,1,1,0.5984254,1000
28,pnl,go,go,1,1,0.5851961,1000
28,pnl,go,go,1,1,0.5584626,1000
28,pnl,stop,stop,0,1,0.651825,350
28,pnl,go,go,1,1,0.5718414,1000
28,pnl,go,go,1,1,0.5974246,1000
28,pnl,go,go,1,1,0.5852186,1000
28,pnl,go,go,1,1,0.6118535,1000
28,pnl,stop,stop,0,1,0.6517371,200
28,pnl,go,go,1,1,0.5318252,1000
28,pnl,go,go,1,1,0.5718661,1000
28,pnl,go,go,1,1,0.5308021,1000
28,pnl,stop,go,1,0,0.5583651,400
28,pnl,go,go,1,1,0.5319533,1000
28,pnl,go,go,1,1,0.5719295,1000
28,pnl,go,go,1,1,0.6118584,1000
28,pnl,stop,stop,0,1,0.6510212,350
28,pnl,stop,stop,0,1,0.6515579,300
28,pnl,stop,stop,0,1,0.6516326,400
28,pnl,go,go,1,1,0.5450971,1000
28,pnl,stop,stop,0,1,0.6517621,200
28,pnl,stop,go,1,0,0.4118706,300
28,pnl,go,go,1,1,0.5983682,1000
28,pnl,stop,stop,0,1,0.6517997,200
28,pnl,go,go,1,1,0.5984071,1000
28,pnl,stop,stop,0,1,0.6517025,250
28,pnl,go,go,1,1,0.6250794,1000
28,pnl,stop,stop,0,1,0.6518127,350
28,pnl,stop,stop,0,1,0.6517525,250
28,pnl,go,stop,0,0,0.6517533,1000
28,pnl,go,go,1,1,0.5185599,1000
28,pnl,stop,stop,0,1,0.651764,300
28,pnl,stop,stop,0,1,0.6518078,300
28,pnl,stop,stop,0,1,0.6515978,250
28,pnl,go,go,1,1,0.5585189,1000
28,pnl,stop,stop,0,1,0.6518109,250
28,pnl,go,go,1,1,0.5441009,1000
28,pnl,go,go,1,1,0.5717204,1000
28,pnl,stop,stop,0,1,0.6510027,200
28,pnl,stop,go,1,0,0.5585787,400
28,pnl,go,go,1,1,0.5585488,1000
28,pnl,go,go,1,1,0.5717153,1000
28,pnl,stop,stop,0,1,0.651818,200
28,pnl,go,go,1,1,0.5452871,1000
28,pnl,go,go,1,1,0.5851113,1000
28,pnl,stop,stop,0,1,0.6517266,350
28,pnl,go,go,1,1,0.6384388,1000
28,pnl,stop,stop,0,1,0.6518428,350
