idx,Cond,pGo,pGo_split,ttype,response,acc,choice,rt
1,bsl,0.2,2,go,0,0,stop,0.545188
1,bsl,0.2,2,go,0,0,stop,0.5451308000000001
1,bsl,0.0,2,go,0,0,stop,0.5451319
1,bsl,1.0,1,go,1,1,go,0.5184715999999999
1,bsl,1.0,1,go,1,1,go,0.4919263
1,bsl,0.8,1,go,1,1,go,0.5451538
1,bsl,0.6,1,go,1,1,go,0.5451738
1,bsl,0.2,2,go,1,1,go,0.5583708000000001
1,bsl,0.0,2,go,0,0,stop,0.5450998
1,bsl,0.6,1,go,1,1,go,0.5319619999999999
1,bsl,0.0,2,go,0,0,stop,0.5451079000000001
1,bsl,0.8,1,go,1,1,go,0.5450853
1,bsl,0.8,1,go,1,1,go,0.4917134
1,bsl,0.0,2,go,0,0,stop,0.5452338000000001
1,bsl,0.0,2,go,0,0,stop,0.5450731
1,bsl,0.2,2,go,1,1,go,0.5451852
1,bsl,0.4,2,go,0,0,stop,0.5450676
1,bsl,0.2,2,go,0,0,stop,0.5452429
1,bsl,0.6,1,go,0,0,stop,0.5451696999999999
1,bsl,0.4,2,go,1,1,go,0.5451623000000001
1,bsl,1.0,1,go,1,1,go,0.5051625
1,bsl,1.0,1,go,1,1,go,0.5184994
1,bsl,1.0,1,go,1,1,go,0.5052496
1,bsl,1.0,1,go,1,1,go,0.5318095
1,bsl,0.6,1,go,1,1,go,0.5452296
1,bsl,0.2,2,go,0,0,stop,0.5451366
1,bsl,0.8,1,go,1,1,go,0.49181149999999996
1,bsl,0.4,2,go,0,0,stop,0.5450495
1,bsl,0.4,2,go,1,1,go,0.5451642
1,bsl,1.0,1,go,1,1,go,0.48028519999999997
1,bsl,0.4,2,go,0,0,stop,0.5468563
1,bsl,0.8,1,go,1,1,go,0.4651647
1,bsl,0.8,1,go,1,1,go,0.5316929
1,bsl,0.4,2,go,1,1,go,0.5452076
1,bsl,0.6,1,go,1,1,go,0.5451457
1,bsl,1.0,1,go,1,1,go,0.49188809999999994
1,bsl,0.8,1,go,1,1,go,0.5452111999999999
