idx,pGo,Cond,response,choice,rt,HL
1,0.8,bsl,1,go,0.5450853,1
1,0.8,bsl,1,go,0.4917134,1
1,0.0,bsl,0,stop,0.5452338,2
1,0.0,bsl,0,stop,0.5450731,2
1,0.2,bsl,1,go,0.5451852,2
1,0.4,bsl,0,stop,0.5450676,2
1,0.2,bsl,0,stop,0.5452429,2
1,0.6,bsl,0,stop,0.5451697,1
1,0.4,bsl,1,go,0.5451623,2
1,1.0,bsl,1,go,0.5051625,1
1,1.0,bsl,1,go,0.5184994,1
1,1.0,bsl,1,go,0.5052496,1
1,1.0,bsl,1,go,0.5318095,1
1,0.6,bsl,1,go,0.5452296,1
1,0.2,bsl,0,stop,0.5451366,2
1,0.8,bsl,1,go,0.4918115,1
1,0.4,bsl,0,stop,0.5450495,2
1,0.4,bsl,1,go,0.5451642,2
1,1.0,bsl,1,go,0.4802852,1
1,0.4,bsl,0,stop,0.5468563,2
1,0.8,bsl,1,go,0.4651647,1
1,0.8,bsl,1,go,0.5316929,1
1,0.4,bsl,1,go,0.5452076,2
1,0.6,bsl,1,go,0.5451457,1
1,1.0,bsl,1,go,0.4918881,1
1,0.8,bsl,1,go,0.5452112,1
1,0.6,bsl,1,go,0.5450427,1
1,0.2,bsl,0,stop,0.5451635,2
1,0.0,bsl,0,stop,0.5451463,2
1,0.4,bsl,0,stop,0.5450886,2
1,0.8,bsl,1,go,0.5184908,1
1,0.2,bsl,0,stop,0.5450223,2
1,0.4,bsl,0,stop,0.558248,2
1,1.0,bsl,1,go,0.5051724,1
1,0.0,bsl,0,stop,0.5451392,2
1,1.0,bsl,1,go,0.4785576,1
1,0.6,bsl,0,stop,0.5451469,1
1,0.0,bsl,0,stop,0.5450915,2
1,0.0,bsl,0,stop,0.5451381,2
1,0.6,bsl,1,go,0.5466107,1
1,1.0,bsl,1,go,0.5202164,1
1,0.2,bsl,0,stop,0.5468789,2
1,0.2,bsl,0,stop,0.5454544,2
1,1.0,bsl,1,go,0.5051177,1
1,1.0,bsl,1,go,0.4936109,1
1,0.0,bsl,0,stop,0.545184,2
1,0.6,bsl,1,go,0.5451052,1
1,0.6,bsl,1,go,0.5468821,1
1,0.6,bsl,1,go,0.5317141,1
1,1.0,bsl,1,go,0.5318586,1
1,1.0,bsl,1,go,0.4917779,1
1,0.2,bsl,0,stop,0.5451814,2
1,0.8,bsl,1,go,0.518575,1
1,0.2,bsl,1,go,0.5452103,2
1,0.6,bsl,0,stop,0.5452109,1
1,0.4,bsl,1,go,0.5451333,2
1,0.0,bsl,0,stop,0.5450448,2
1,0.4,bsl,0,stop,0.5451722,2
1,0.2,bsl,1,go,0.5452253,2
1,0.8,bsl,1,go,0.4650984,1
1,1.0,bsl,1,go,0.545069,1
1,0.0,bsl,0,stop,0.5451979,2
1,0.2,bsl,1,go,0.5451316,2
1,0.8,bsl,1,go,0.4785116,1
1,0.8,bsl,1,go,0.4918505,1
1,0.4,bsl,1,go,0.5450702,2
1,0.0,bsl,0,stop,0.5452368,2
1,0.4,bsl,1,go,0.5318673,2
1,1.0,pnl,1,go,0.4519379,1
1,1.0,pnl,1,go,0.5050601,1
1,1.0,pnl,1,go,0.5317502,1
1,1.0,pnl,1,go,0.5051997,1
1,1.0,pnl,1,go,0.5317814,1
1,1.0,pnl,1,go,0.4785912,1
1,1.0,pnl,1,go,0.5051328,1
1,1.0,pnl,1,go,0.4783627,1
1,0.6,pnl,1,go,0.5185449,1
1,0.8,pnl,1,go,0.545107,1
1,0.2,pnl,0,stop,0.545212,2
1,0.0,pnl,0,stop,0.5451936,2
1,0.6,pnl,0,stop,0.5576638,1
1,0.8,pnl,1,go,0.5317066,1
1,0.0,pnl,0,stop,0.5450417,2
1,0.6,pnl,1,go,0.5452022,1
1,0.4,pnl,1,go,0.545127,2
1,1.0,pnl,1,go,0.5184948,1
1,1.0,pnl,1,go,0.5451362,1
1,0.4,pnl,1,go,0.5451554,2
1,0.2,pnl,1,go,0.545188,2
1,0.2,pnl,0,stop,0.5450234,2
1,1.0,pnl,1,go,0.5320065,1
1,0.4,pnl,0,stop,0.5451095,2
1,0.6,pnl,1,go,0.5451393,1
1,0.0,pnl,0,stop,0.5451714,2
1,0.4,pnl,0,stop,0.5452487,2
1,0.2,pnl,1,go,0.5451787,2
1,0.8,pnl,1,go,0.5319321,1
1,0.8,pnl,1,go,0.4784616,1
1,1.0,pnl,1,go,0.4918634,1
1,0.0,pnl,0,stop,0.5451678,2
1,1.0,pnl,1,go,0.5184835,1
1,0.8,pnl,1,go,0.5185465,1
1,0.4,pnl,1,go,0.545178,2
1,0.6,pnl,1,go,0.5469044,1
1,0.8,pnl,1,go,0.5452817,1
1,0.6,pnl,1,go,0.5451273,1
1,0.0,pnl,0,stop,0.5451562,2
1,0.2,pnl,1,go,0.5450405,2
1,0.2,pnl,0,stop,0.5451299,2
1,0.0,pnl,0,stop,0.5583085,2
1,0.4,pnl,1,go,0.5452946,2
1,0.4,pnl,0,stop,0.5450962,2
1,0.0,pnl,0,stop,0.5451292,2
1,0.2,pnl,0,stop,0.5451455,2
1,0.0,pnl,0,stop,0.5574857,2
1,0.6,pnl,0,stop,0.5450762,1
1,1.0,pnl,1,go,0.545159,1
1,0.4,pnl,0,stop,0.5452615,2
1,0.6,pnl,1,go,0.5582934,1
1,1.0,pnl,1,go,0.5308045,1
1,0.8,pnl,1,go,0.5450089,1
1,0.8,pnl,1,go,0.5318425,1
1,1.0,pnl,1,go,0.5184507,1
1,1.0,pnl,1,go,0.5050293,1
1,0.2,pnl,0,stop,0.5451091,2
1,1.0,pnl,1,go,0.5201961,1
1,0.4,pnl,0,stop,0.545175,2
1,0.8,pnl,1,go,0.5186274,1
1,0.4,pnl,0,stop,0.545201,2
1,0.2,pnl,0,stop,0.5450835,2
1,0.6,pnl,1,go,0.5574023,1
1,0.8,pnl,1,go,0.5451777,1
1,0.0,pnl,0,stop,0.5450441,2
1,0.2,pnl,1,go,0.5470061,2
1,0.6,pnl,0,stop,0.5458718,1
1,1.0,pnl,1,go,0.5451144,1
1,0.2,pnl,0,stop,0.5452646,2
1,0.8,pnl,1,go,0.5318559,1
1,0.0,pnl,0,stop,0.5452382,2
1,1.0,pnl,1,go,0.505165,1
1,0.4,pnl,0,stop,0.5451585,2
1,1.0,pnl,1,go,0.5051456,1
1,0.4,pnl,0,stop,0.5452193,2
1,0.2,pnl,0,stop,0.5451957,2
1,1.0,pnl,1,go,0.5318129,1
1,0.6,pnl,1,go,0.5451024,1
1,0.6,pnl,1,go,0.5451764,1
1,0.0,pnl,0,stop,0.5451913,2
1,0.8,pnl,1,go,0.5052234,1
1,0.0,pnl,0,stop,0.5452029,2
1,1.0,pnl,1,go,0.5185552,1
1,1.0,pnl,1,go,0.5051479,1
1,0.8,pnl,1,go,0.5052192,1
1,1.0,pnl,1,go,0.531613,1
1,0.0,pnl,0,stop,0.5450838,2
1,0.6,pnl,1,go,0.54514,1
1,0.2,pnl,0,stop,0.5450306,2
1,0.2,pnl,0,stop,0.5578476,2
1,0.0,pnl,0,stop,0.5451514,2
1,0.4,pnl,0,stop,0.5450188,2
1,0.6,pnl,1,go,0.5452006,1
1,0.4,pnl,0,stop,0.5451045,2
1,0.8,pnl,1,go,0.505186,1
1,0.6,pnl,1,go,0.5541082,1
1,0.0,pnl,0,stop,0.5582646,2
1,0.2,pnl,0,stop,0.5451726,2
1,0.8,pnl,1,go,0.5051644,1
1,1.0,pnl,1,go,0.5051211,1
1,0.0,pnl,0,stop,0.5451743,2
1,0.4,pnl,0,stop,0.545146,2
1,0.8,pnl,1,go,0.4785152,1
1,0.2,pnl,0,stop,0.5452185,2
1,0.4,pnl,1,go,0.5451826,2
1,1.0,pnl,1,go,0.5051965,1
1,0.6,pnl,1,go,0.5452068,1
1,1.0,pnl,1,go,0.5050018,1
1,0.6,pnl,0,stop,0.558437,1
1,0.2,pnl,0,stop,0.5451917,2
1,1.0,pnl,1,go,0.5052641,1
1,0.0,pnl,0,stop,0.5451463,2
1,0.6,pnl,1,go,0.5451879,1
1,0.2,pnl,0,stop,0.5451285,2
1,0.4,pnl,0,stop,0.5451738,2
1,1.0,pnl,1,go,0.5051448,1
1,1.0,pnl,1,go,0.5317936,1
1,0.6,pnl,1,go,0.5452858,1
1,0.0,pnl,0,stop,0.5453504,2
1,0.2,pnl,0,stop,0.5451398,2
1,0.2,pnl,1,go,0.5450226,2
1,1.0,pnl,1,go,0.5053462,1
1,0.4,pnl,0,stop,0.5451194,2
